T_gob,t_settle,t_cooling,alfa1_1,alfa1_2,alfa1_3,alfa1_4,alfa2_1,alfa2_2,alfa2_3,alfa2_4,beta1_1,beta1_2,beta1_3,beta1_4,beta2_1,beta2_2,beta2_3,beta2_4,k_settle_1,k_settle_2,k_settle_3,k_settle_4,k_counter_1,k_counter_2,k_counter_3,k_counter_4
1100,1.52,3.6,72107.22126,-323.7458228,0.487888308,-0.00024516,-714511.4884,3235.753988,-4.881815859,0.002456477,30710.0311,-146.4171942,0.236548386,-0.000127432,-278205.623,1351.372332,-2.184800572,0.001178334,3192605.953,-22685.95066,46.72066442,-0.042102248,627649.3757,-14849.68467,61.98015594,-0.119220803
1100,1.92,3.6,50159.08806,-226.4833314,0.344272369,-0.000174492,-513771.881,2346.529779,-3.569189867,0.001810805,33477.91352,-161.4907145,0.263616926,-0.000143481,-303790.1422,1490.703038,-2.434880329,0.001326593,3440558.305,-25297.88687,55.29655309,-0.051086054,662774.8739,-15943.10512,70.91194755,-0.141904765
1100,2.32,3.6,36881.87299,-167.3171293,0.256433849,-0.000131038,-389147.4148,1791.420094,-2.745303835,0.001403374,35890.98854,-175.0229398,0.288544301,-0.000158599,-325766.6188,1614.209908,-2.662654756,0.001464912,3652359.757,-27623.05196,63.19866485,-0.059617536,681525.9904,-16717.2967,77.99013114,-0.161305104
1100,2.72,3.6,28320.56253,-128.9681647,0.199215285,-0.000102592,-305633.8413,1417.479011,-2.187445656,0.001126106,38011.23599,-187.2619784,0.311649289,-0.000172916,-344768.8463,1724.436811,-2.871400058,0.001594627,3843021.672,-29781.88893,70.72934815,-0.067944701,692033.5125,-17307.43673,83.90202476,-0.178488893
1100,3.12,3.6,22551.63449,-102.8994692,0.15996624,-8.29E-05,-247271.6358,1153.660072,-1.790028535,0.000926604,39863.35621,-198.080304,0.332292985,-0.000185841,-361517.0645,1822.561057,-3.059037808,0.001712338,4033746.631,-31859.01042,77.92877636,-0.07590442,693373.9585,-17664.78024,88.08585575,-0.191717977
1100,3.12,3.6,22551.63449,-102.8994692,0.15996624,-8.29E-05,-247271.6358,1153.660072,-1.790028535,0.000926604,39863.35621,-198.080304,0.332292985,-0.000185841,-361517.0645,1822.561057,-3.059037808,0.001712338,4033746.631,-31859.01042,77.92877636,-0.07590442,693373.9585,-17664.78024,88.08585575,-0.191717977
1100,3.12,4.04,22768.52282,-103.3310724,0.159720595,-8.23E-05,-249820.9304,1158.800804,-1.787656994,0.000920051,40216.32308,-198.6851851,0.331331355,-0.000184204,-365111.5538,1829.738777,-3.05288708,0.001698764,4048414.401,-31834.34357,77.51769593,-0.075176229,697555.229,-17677.3316,87.76820865,-0.19014504
1100,3.12,4.48,23008.49249,-103.7653967,0.159326585,-8.15E-05,-251643.2513,1159.514554,-1.776957827,0.000908515,40599.33623,-199.2332476,0.329953066,-0.000182172,-369941.7004,1841.026888,-3.050393759,0.001685585,4085124.965,-31973.91728,77.51947971,-0.074783739,703357.8789,-17700.9574,87.42874425,-0.188331147
1100,3.12,4.92,23197.63226,-104.0866382,0.158960653,-8.09E-05,-252679.9843,1158.12035,-1.76545121,0.000897868,40901.22648,-199.6241422,0.32875254,-0.000180495,-373663.1776,1849.031542,-3.046391421,0.001673883,4111913.262,-32050.89822,77.3945164,-0.074327456,709732.9829,-17747.27199,87.31366898,-0.187174666
1100,3.12,5.36,23547.1734,-105.0295015,0.159378555,-8.06E-05,-255943.8549,1165.678005,-1.765828008,0.000892421,41299.05698,-200.2862574,0.327685387,-0.000178732,-376999.2618,1853.305325,-3.033466557,0.001655879,4073523.639,-31536.43835,75.52022322,-0.072168909,718499.8892,-17824.545,87.31760985,-0.186100159
