index,realIndex,cycle_duration,cooling_start,cooling_end,counter_start,counter_end,settle_start,settle_end,gob_start,mold_start
1,1,13.36,0.64,6,3.12,4.72,0,3.12,1100,404.0019302
2,2,13.36,1.12,6,3.12,4.72,0,3.12,1100,404.0019302
3,3,13.36,1.52,6,3.12,4.72,0,3.12,1100,404.0019302
4,4,13.36,2,6,3.12,4.72,0,3.12,1100,404.0019302
5,5,13.36,2.4,6,3.12,4.72,0,3.12,1100,404.0019302
6,6,13.36,0.24,5.6,2.72,4.32,0,2.72,1100,403.9979072
7,7,13.36,0.72,5.6,2.72,4.32,0,2.72,1100,403.9979072
8,8,13.36,1.12,5.6,2.72,4.32,0,2.72,1100,403.9979072
9,9,13.36,1.6,5.6,2.72,4.32,0,2.72,1100,403.9979072
10,10,13.36,2,5.6,2.72,4.32,0,2.72,1100,403.9979072
11,11,13.2,0,5.2,2.32,3.92,0,2.32,1100,403.9645638
12,12,13.36,0.32,5.2,2.32,3.92,0,2.32,1100,403.9946887
13,13,13.36,0.72,5.2,2.32,3.92,0,2.32,1100,403.9946887
14,14,13.36,1.2,5.2,2.32,3.92,0,2.32,1100,403.9946887
15,15,13.36,1.6,5.2,2.32,3.92,0,2.32,1100,403.9946887
16,16,12.72,0,4.8,1.92,3.52,0,1.92,1100,403.8291792
17,17,13.28,0,4.8,1.92,3.52,0,1.92,1100,403.9597237
18,18,13.36,0.32,4.8,1.92,3.52,0,1.92,1100,403.9898606
19,19,13.36,0.8,4.8,1.92,3.52,0,1.92,1100,403.9898606
20,20,13.36,1.2,4.8,1.92,3.52,0,1.92,1100,403.9898606
21,21,12.32,0,4.4,1.52,3.12,0,1.52,1100,403.7288219
22,22,12.88,0,4.4,1.52,3.12,0,1.52,1100,403.8449574
23,23,13.28,0,4.4,1.52,3.12,0,1.52,1100,403.9556901
24,24,13.36,0.4,4.4,1.52,3.12,0,1.52,1100,403.9858368
25,25,13.36,0.8,4.4,1.52,3.12,0,1.52,1100,403.9858368
1,26,13.36,0.64,6,3.12,4.72,0,3.12,1150,404.0019302
2,27,13.36,1.12,6,3.12,4.72,0,3.12,1150,404.0019302
3,28,13.36,1.52,6,3.12,4.72,0,3.12,1150,404.0019302
4,29,13.36,2,6,3.12,4.72,0,3.12,1150,404.0019302
5,30,13.36,2.4,6,3.12,4.72,0,3.12,1150,404.0019302
6,31,13.36,0.24,5.6,2.72,4.32,0,2.72,1150,403.9979072
7,32,13.36,0.72,5.6,2.72,4.32,0,2.72,1150,403.9979072
8,33,13.36,1.12,5.6,2.72,4.32,0,2.72,1150,403.9979072
9,34,13.36,1.6,5.6,2.72,4.32,0,2.72,1150,403.9979072
10,35,13.36,2,5.6,2.72,4.32,0,2.72,1150,403.9979072
11,36,13.2,0,5.2,2.32,3.92,0,2.32,1150,403.9645638
12,37,13.36,0.32,5.2,2.32,3.92,0,2.32,1150,403.9946887
13,38,13.36,0.72,5.2,2.32,3.92,0,2.32,1150,403.9946887
14,39,13.36,1.2,5.2,2.32,3.92,0,2.32,1150,403.9946887
15,40,13.36,1.6,5.2,2.32,3.92,0,2.32,1150,403.9946887
16,41,12.72,0,4.8,1.92,3.52,0,1.92,1150,403.8291792
17,42,13.28,0,4.8,1.92,3.52,0,1.92,1150,403.9597237
18,43,13.36,0.32,4.8,1.92,3.52,0,1.92,1150,403.9898606
19,44,13.36,0.8,4.8,1.92,3.52,0,1.92,1150,403.9898606
20,45,13.36,1.2,4.8,1.92,3.52,0,1.92,1150,403.9898606
21,46,12.32,0,4.4,1.52,3.12,0,1.52,1150,403.7288219
22,47,12.88,0,4.4,1.52,3.12,0,1.52,1150,403.8449574
23,48,13.28,0,4.4,1.52,3.12,0,1.52,1150,403.9556901
24,49,13.36,0.4,4.4,1.52,3.12,0,1.52,1150,403.9858368
25,50,13.36,0.8,4.4,1.52,3.12,0,1.52,1150,403.9858368
1,51,13.36,0.64,6,3.12,4.72,0,3.12,1200,404.0019302
2,52,13.36,1.12,6,3.12,4.72,0,3.12,1200,404.0019302
3,53,13.36,1.52,6,3.12,4.72,0,3.12,1200,404.0019302
4,54,13.36,2,6,3.12,4.72,0,3.12,1200,404.0019302
5,55,13.36,2.4,6,3.12,4.72,0,3.12,1200,404.0019302
6,56,13.36,0.24,5.6,2.72,4.32,0,2.72,1200,403.9979072
7,57,13.36,0.72,5.6,2.72,4.32,0,2.72,1200,403.9979072
8,58,13.36,1.12,5.6,2.72,4.32,0,2.72,1200,403.9979072
9,59,13.36,1.6,5.6,2.72,4.32,0,2.72,1200,403.9979072
10,60,13.36,2,5.6,2.72,4.32,0,2.72,1200,403.9979072
11,61,13.2,0,5.2,2.32,3.92,0,2.32,1200,403.9645638
12,62,13.36,0.32,5.2,2.32,3.92,0,2.32,1200,403.9946887
13,63,13.36,0.72,5.2,2.32,3.92,0,2.32,1200,403.9946887
14,64,13.36,1.2,5.2,2.32,3.92,0,2.32,1200,403.9946887
15,65,13.36,1.6,5.2,2.32,3.92,0,2.32,1200,403.9946887
16,66,12.72,0,4.8,1.92,3.52,0,1.92,1200,403.8291792
17,67,13.28,0,4.8,1.92,3.52,0,1.92,1200,403.9597237
18,68,13.36,0.32,4.8,1.92,3.52,0,1.92,1200,403.9898606
19,69,13.36,0.8,4.8,1.92,3.52,0,1.92,1200,403.9898606
20,70,13.36,1.2,4.8,1.92,3.52,0,1.92,1200,403.9898606
21,71,12.32,0,4.4,1.52,3.12,0,1.52,1200,403.7288219
22,72,12.88,0,4.4,1.52,3.12,0,1.52,1200,403.8449574
23,73,13.28,0,4.4,1.52,3.12,0,1.52,1200,403.9556901
24,74,13.36,0.4,4.4,1.52,3.12,0,1.52,1200,403.9858368
25,75,13.36,0.8,4.4,1.52,3.12,0,1.52,1200,403.9858368
