T_parison,T_mold,T_gob,t_contact,t_cooling,Error
1047.3544366296155,387.2224364750493,1186.0,3.9269231453537943,4.428309224992991,1.0753593123804421
1047.4419056633233,387.30747202656767,1186.0,3.926924082934857,4.428329462036491,0.987890278672694
1047.5292584745207,387.38724499532407,1186.0,3.9269199362397194,4.428242818489671,0.9005374674752602
1047.6108718212306,387.46209513160034,1186.0,3.9269161742925647,4.428167579472065,0.8189241207653595
1047.687126665189,387.53233983185555,1186.0,3.92691281825304,4.428102898672223,0.7426692768069643
1047.7584082342296,387.5982743500984,1186.0,3.9269098562002185,4.428047367408872,0.671387707766371
1047.82507075845,387.66017351621815,1186.0,3.9269072243571284,4.4279997396469115,0.604725183545952
1047.887443546303,387.7182931642273,1186.0,3.926904920041561,4.427958857566119,0.5423523956928875
1047.9458262051908,387.77287174022103,1186.0,3.926902903914452,4.427923786640167,0.48396973680519295
1048.000495970528,387.8241315682832,1186.0,3.926901154220104,4.427893680557609,0.42929997146802634
1048.0517066281136,387.87228014038135,1186.0,3.926899606585503,4.427867850139737,0.3780893138823558
1048.0996928897594,387.9175111962167,1186.0,3.9268982735276223,4.4278456944227225,0.3301030522366091
1048.1446691096673,387.9600058389925,1186.0,3.9268971258401875,4.42782672546804,0.2851268323286149
